CurrentRoundEndTime,Instance,MapStatId,AllyCode,Name,DiscordTag,Score
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,994659641,OttoVonGens,OttoVonGens#2822,65
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,545871634,Argarax,Kazrud#2235,69
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,975827772,Tornado,tornado#478,49
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,815682328,SotDO,SotDo#3618,91
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,137256197,Japolock,Japolock#2870,54
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,745483876,Foreigner,Foreigner#2714,37
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,492994246,Chaunce,Chaunce#1601,78
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,442735849,PDXwing,PDXwing#6655,64
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,473373554,Baxston Kane,Baxston Kane#5600,18
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,736639474,Deadly F A R T,⁦Deadly F A R T⁩#1186,75
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,667756347,SilentVader,SilentVader#5511,77
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,617569541,MINI Zan Lucian,Zan Lucian#8522,106
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,259921674,BlackMamba,Jeremy#5183,62
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,569934839,Dalu,Dalu42192#5639,78
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,938542548,Sultan2309,Sultan2309#7453,32
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,716417922,TinyBubbles,TinyBubbles31#0228,0
1.66811E+12,vs. |ΗΑ| MandaIore,attack_stars,825875376,Zlada14,zlada14#0537,0
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,852762117,Revanchist,Revanchist#9559,4
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,349451219,Robbie Brady,Robbie Brady#7103,2
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,283842274,JustinAlexander11,JustinAlexander11#1023,1
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,499615124,Anubis,⁦Bellhharar⁩#0560,5
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,245711569,Promethean,Promethean#3008,2
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,996614779,Jables,Jables#9173,3
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,615713739,Ky Zeth,Ky Zeth#6539,2
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,484789943,Jed1Mast3rDallas,jedimasterdallas#3331,3
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,436483225,Dr N00b,Thɑɳɑthѳs#6579,4
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,946916445,ExcellentNut,⁦ExcellentNut⁩#0656,6
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,114649229,ìN Paca,Paca#8479,9
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,296684579,ṪѦ DerHesse1505,DerHesse1505 (TB Offi)#9876,3
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,929389526,Tommyboy85,tommyboy#3739,4
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,268951863,Loadage,Loadage#1450,8
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,214848174,ilekkund,ilekkund#8475,4
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,148163689,ilekkund2,ilekkund#8475,2
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,242144976,MINI xipokemastrix,xIPokemastrIx#2005,3
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,572892187,WookieeWarrior,teepeepdx#7802,2
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,435886464,Z Xm,Z_Xm#5894,3
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,732694944,Savage1bat,⁦savage1bat⁩#7887,4
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,247341668,Obi Won Sebroni,Obiwon Sebroni The Fallen#6237,3
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,354754647,BladeBR,Edem#5643,6
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,843553429,Shotwell,Shotwell#0501,9
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,997239157,Gryphix,Gryphix#1116,2
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,165968689,RC1262,vaalok#4807,5
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,798445437,Kaytee Glopio,Kaytee Glopio#6445,4
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,691769393,Hulkster,Hulkster#4141,6
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,634487631,JacenCaedus,Sala#2238,1
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,825875376,Zlada14,zlada14#0537,1
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,932489599,MINI Azryl,Azryl#1591,5
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,513125742,MarkKenoburger,kenoburger#9903,2
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,994659641,OttoVonGens,OttoVonGens#2822,8
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,545871634,Argarax,Kazrud#2235,7
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,975827772,Tornado,tornado#478,5
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,815682328,SotDO,SotDo#3618,7
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,137256197,Japolock,Japolock#2870,3
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,745483876,Foreigner,Foreigner#2714,3
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,492994246,Chaunce,Chaunce#1601,6
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,442735849,PDXwing,PDXwing#6655,5
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,473373554,Baxston Kane,Baxston Kane#5600,1
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,736639474,Deadly F A R T,⁦Deadly F A R T⁩#1186,4
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,667756347,SilentVader,SilentVader#5511,6
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,617569541,MINI Zan Lucian,Zan Lucian#8522,11
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,259921674,BlackMamba,Jeremy#5183,5
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,569934839,Dalu,Dalu42192#5639,4
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,938542548,Sultan2309,Sultan2309#7453,3
1.66811E+12,vs. |ΗΑ| MandaIore,disobey,716417922,TinyBubbles,TinyBubbles31#0228,0
